,xray_class,T_REC,NOAA_AR,USFLUX,MEANGAM,MEANGBT,MEANJZD,MEANJZH,ABSNJZH,R_VALUE
0,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
1,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
2,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
3,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
4,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
5,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
6,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
7,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
8,M,2010-05-01 00:00:00,11067,6.51e+21,28.3,66.8,-0.132,0.0031,30.3,3.34
9,M,2010-05-05 11:12:00,11069,9.31e+21,42.0,98.8,-0.0635,-0.0245,334.0,4.29
10,M,2010-06-11 18:36:00,11081,5.64e+21,44.5,119.0,-0.709,0.0034,32.5,3.93
11,M,2010-06-12 23:36:00,11079,9.85e+21,35.7,85.8,0.0563,0.00121,15.2,3.64
12,M,2010-08-07 12:00:00,11093,1.16e+22,41.5,92.9,-0.155,-0.00669,123.0,3.49
13,M,2010-10-16 13:12:00,11112,1.29e+22,37.5,120.0,0.378,0.00472,102.0,4.1
14,M,2010-11-04 13:48:00,11121,4.37e+21,25.8,80.1,-0.277,0.00914,39.6,4.12
15,M,2010-11-05 06:48:00,11121,1.98e+22,29.9,71.7,0.113,-7.05e-05,1.96,4.28
16,M,2010-11-06 09:24:00,11121,2.67e+22,28.2,88.4,0.0633,0.00169,67.1,3.72
17,M,2011-01-27 14:00:00,11149,4.37e+21,48.9,58.2,-0.914,0.00538,33.3,4.12
18,M,2011-02-08 19:24:00,11153,2.12e+22,38.3,77.2,-0.305,-0.00541,140.0,4.46
19,M,2011-02-13 11:24:00,11158,1.57e+22,60.4,109.0,0.157,0.0275,776.0,4.77
20,M,2011-02-14 11:24:00,11158,2.34e+22,60.9,94.4,0.0632,0.0169,654.0,4.81
21,M,2011-02-15 19:36:00,11161,1.59e+22,42.1,110.0,0.00422,-0.014,303.0,4.4
22,M,2011-02-16 01:36:00,11161,1.71e+22,42.9,104.0,-0.199,-0.0134,318.0,4.48
23,M,2011-02-16 08:24:00,11158,2.81e+22,55.7,94.1,0.217,0.0213,948.0,4.86
24,M,2011-02-18 04:00:00,11162,1.76e+22,52.1,120.0,0.0747,-0.00224,62.8,4.31
25,M,2011-02-18 04:24:00,11162,1.77e+22,52.2,119.0,0.0527,-0.00231,65.9,4.38
26,M,2011-02-18 07:00:00,11158,3.65e+22,45.0,94.7,0.00508,0.0117,588.0,4.77
27,M,2011-02-18 08:00:00,11162,1.77e+22,52.1,126.0,0.143,-0.00609,164.0,4.62
28,M,2011-02-18 15:00:00,11158,3.65e+22,42.7,90.0,-0.013,0.0135,673.0,4.74
29,M,2011-02-24 01:36:00,11163,0.0,0.0,0.0,0.0,0.0,0.0,4.49
30,M,2011-02-28 06:36:00,11164,2.88e+22,34.8,90.6,-0.188,0.0132,548.0,4.39
31,M,2011-03-06 23:00:00,11165,4.41e+22,40.0,83.9,-0.0982,0.000459,28.0,4.6
32,M,2011-03-07 01:48:00,11165,4.54e+22,40.4,83.9,-0.0191,0.0054,328.0,4.67
33,M,2011-03-07 02:00:00,11164,6.18e+22,40.1,84.0,-0.0105,0.00503,438.0,4.67
34,M,2011-03-07 03:12:00,11165,4.69e+22,39.9,82.9,-0.00497,0.00971,603.0,4.6
35,M,2011-03-07 07:48:00,11166,2.26e+22,55.7,96.0,0.266,-0.003,106.0,4.47
36,M,2011-03-07 13:48:00,11166,2.3e+22,56.9,94.7,0.424,1.57e-06,0.0591,4.45
37,M,2011-03-07 15:48:00,11166,2.41e+22,57.3,92.5,0.318,-0.000138,5.72,4.47
38,M,2011-03-07 20:24:00,11166,2.67e+22,58.4,93.5,0.373,-6.9e-05,3.19,4.58
39,M,2011-03-07 21:36:00,11166,2.67e+22,58.2,94.6,0.243,-0.00307,138.0,4.58
40,M,2011-03-08 04:36:00,11165,3.78e+22,42.0,58.9,-0.217,0.0126,623.0,4.49
41,M,2011-03-08 12:12:00,11166,2.96e+22,59.5,94.2,0.342,0.00127,64.1,4.83
42,M,2011-03-08 13:48:00,11166,2.97e+22,59.4,94.9,0.304,0.000953,48.1,4.93
43,M,2011-03-09 04:36:00,11166,3.07e+22,58.4,98.3,0.202,-0.00393,186.0,4.63
44,M,2011-03-09 07:12:00,11166,3.16e+22,58.1,95.3,0.267,-0.00295,150.0,4.82
45,M,2011-03-10 16:36:00,11166,3.52e+22,55.2,98.7,0.157,0.00111,58.1,4.96
46,M,2011-03-11 22:36:00,11169,1.57e+22,47.9,117.0,0.224,-0.0229,544.0,4.08
47,M,2011-03-14 13:36:00,11169,2.49e+22,41.4,99.9,0.0355,-0.0225,792.0,4.68
48,M,2011-03-14 18:24:00,11169,2.83e+22,39.3,93.2,0.0944,-0.0199,803.0,4.64
49,M,2011-03-22 20:00:00,11176,3.71e+22,44.0,66.0,0.00338,0.0037,194.0,4.49
50,M,2011-03-24 06:00:00,11176,4.37e+22,39.4,85.2,0.0334,0.00791,502.0,4.44
51,M,2011-03-25 17:12:00,11176,5.09e+22,40.6,101.0,0.0545,0.00542,451.0,4.61
52,M,2011-04-15 11:00:00,11190,2.83e+22,46.9,117.0,0.225,-0.00936,423.0,4.75
53,M,2011-04-21 22:36:00,11195,5.44e+22,35.1,93.7,0.0523,0.00612,518.0,4.71
54,M,2011-04-22 09:48:00,11195,5.07e+22,38.9,99.3,0.0766,0.00969,770.0,4.84
55,M,2011-05-28 15:12:00,11226,2.86e+22,45.6,72.6,-0.0516,0.0172,651.0,4.73
56,M,2011-05-29 04:12:00,11226,3.78e+22,45.3,78.4,-0.0814,0.015,735.0,4.92
57,M,2011-06-07 00:12:00,11226,2.45e+22,30.5,101.0,-0.0882,0.00916,357.0,3.71
58,M,2011-06-14 15:36:00,11236,4.2e+22,43.1,54.8,-0.0664,0.0072,433.0,4.47
59,M,2011-07-27 09:48:00,11260,1.51e+22,44.2,112.0,-0.141,0.000849,20.8,4.5
60,M,2011-07-29 20:00:00,11261,2.21e+22,44.9,108.0,0.00533,-0.00444,149.0,4.49
61,M,2011-08-01 23:24:00,11261,2.09e+22,55.5,110.0,0.121,0.028,944.0,4.76
62,M,2011-08-02 21:12:00,11261,2.16e+22,52.7,104.0,0.159,0.0349,1250.0,4.72
63,M,2011-08-02 22:24:00,11263,2.66e+22,61.8,81.2,0.162,0.0275,1080.0,4.79
64,M,2011-08-03 07:12:00,11261,2.43e+22,50.4,106.0,0.105,0.0286,1180.0,4.79
65,M,2011-08-03 21:36:00,11261,2.44e+22,46.4,115.0,-0.115,0.0283,1100.0,4.81
66,M,2011-08-08 12:00:00,11263,3.53e+22,44.9,76.0,0.0564,0.0155,792.0,4.59
67,M,2011-08-08 21:24:00,11263,3.69e+22,43.1,72.8,0.0323,0.0209,1060.0,4.57
68,M,2011-09-04 05:24:00,11283,2.13e+22,47.5,112.0,0.298,-0.00264,96.3,4.01
69,M,2011-09-04 22:12:00,11283,2.15e+22,50.9,110.0,0.441,-0.0019,73.3,4.2
70,M,2011-09-05 01:24:00,11283,2.04e+22,52.0,114.0,0.415,-0.00133,46.9,4.26
71,M,2011-09-05 19:36:00,11283,1.7e+22,54.1,109.0,0.481,0.00431,129.0,4.46
72,M,2011-09-08 09:36:00,11283,1.85e+22,43.0,109.0,0.091,0.00936,275.0,4.38
73,M,2011-09-09 00:00:00,11283,2.47e+22,39.6,106.0,0.169,0.0072,277.0,4.43
74,M,2011-09-09 06:36:00,11283,2.83e+22,37.9,97.8,0.143,0.00643,285.0,4.54
75,M,2011-09-10 01:24:00,11283,3.14e+22,34.5,83.3,0.064,0.00435,217.0,4.27
76,M,2011-09-21 06:00:00,11301,3.93e+22,31.3,92.9,-0.0299,-0.00126,77.8,3.96
77,M,2011-09-22 03:48:00,11295,5.15e+22,38.8,106.0,-0.0791,0.00337,257.0,4.58
78,M,2011-09-22 19:48:00,11302,5.74e+22,46.2,71.4,-0.104,-0.00881,621.0,4.79
79,M,2011-09-23 15:48:00,11295,6.62e+22,36.2,77.1,-0.0367,0.00124,114.0,4.65
80,M,2011-09-23 17:48:00,11295,7.02e+22,36.0,74.6,-0.0501,0.00136,132.0,4.61
81,M,2011-09-24 05:48:00,11302,5.9e+22,48.4,78.8,0.127,-0.0138,1050.0,4.93
82,M,2011-09-24 10:36:00,11303,4.23e+21,36.5,97.4,-0.155,-0.00828,52.6,3.4
83,M,2011-09-24 11:24:00,11302,5.57e+22,50.0,77.2,0.0689,-0.005,379.0,4.87
84,M,2011-09-24 12:00:00,11303,4.96e+21,38.2,94.2,-0.0843,-0.01,74.1,3.38
85,M,2011-09-24 13:12:00,11302,5.49e+22,50.3,77.4,0.0996,-0.00516,385.0,4.84
86,M,2011-09-24 14:24:00,11295,5.18e+22,40.3,60.1,-0.0912,0.00266,196.0,4.43
87,M,2011-09-24 15:24:00,11302,5.33e+22,50.9,77.5,0.0702,-0.00527,381.0,4.9
88,M,2011-09-24 17:48:00,11302,5.69e+22,50.9,78.7,0.106,-0.00442,343.0,5.01
89,M,2011-09-24 20:24:00,11302,5.46e+22,50.9,82.9,0.0559,-0.00302,209.0,5.05
90,M,2011-09-24 22:36:00,11303,1.18e+22,45.7,80.7,-0.23,-0.0163,291.0,4.03
91,M,2011-09-25 02:48:00,11302,5.71e+22,50.6,84.4,0.135,-0.00472,358.0,5.09
92,M,2011-09-25 03:24:00,11303,1.48e+22,45.1,77.5,-0.159,-0.0161,339.0,4.16
93,M,2011-09-25 09:24:00,11303,1.47e+22,47.5,79.1,0.122,-0.00667,146.0,4.21
94,M,2011-09-25 10:48:00,11303,1.62e+22,45.6,74.1,0.234,-0.00705,160.0,4.14
95,M,2011-09-25 23:00:00,11302,5.06e+22,53.8,87.9,0.186,-0.00806,573.0,5.15
96,M,2011-09-26 08:36:00,11302,4.48e+22,56.3,86.9,0.302,0.000518,33.3,5.19
97,M,2011-09-28 05:48:00,11302,3.67e+22,60.6,86.0,0.288,-0.00566,307.0,4.84
98,M,2011-09-30 13:00:00,11305,7.86e+21,60.8,95.3,0.573,-0.0243,328.0,4.02
99,M,2011-10-01 03:00:00,11305,9.91e+21,62.0,96.6,0.397,-0.0293,517.0,4.22
100,M,2011-10-01 18:36:00,11302,4.03e+22,47.7,90.9,0.121,-0.0117,721.0,4.61
101,M,2011-10-02 11:24:00,11302,4.02e+22,44.1,88.8,0.123,-0.0107,651.0,4.51
102,M,2011-10-19 21:12:00,11319,6.67e+22,37.2,95.3,-0.0347,-0.00149,144.0,4.42
103,M,2011-10-21 06:48:00,11319,6.9e+22,35.3,69.7,0.0277,-0.00269,272.0,4.56
104,M,2011-10-22 04:00:00,11314,3.8e+22,36.9,62.1,0.0939,-0.00308,173.0,4.47
105,M,2011-10-30 22:24:00,11334,6.51e+21,53.3,115.0,-0.115,0.0075,82.7,3.92
106,M,2011-10-30 22:24:00,11334,6.51e+21,53.3,115.0,-0.115,0.0075,82.7,3.92
107,M,2011-11-02 15:48:00,11339,7.82e+22,47.4,56.0,-0.00802,-0.000237,23.8,4.65
108,M,2011-11-03 05:00:00,11339,8.46e+22,46.4,64.0,-0.0145,0.000455,51.8,4.89
109,M,2011-11-03 17:24:00,11339,8.53e+22,46.0,68.1,0.0497,-0.000787,93.4,4.9
110,M,2011-11-04 14:36:00,11339,7.82e+22,45.4,79.9,-0.0224,-0.000698,73.9,5.09
111,M,2011-11-04 21:12:00,11339,8.22e+22,45.9,84.6,0.0351,-0.00155,173.0,5.13
112,M,2011-11-05 05:12:00,11339,7.54e+22,47.2,86.4,0.0377,-0.0015,157.0,5.2
113,M,2011-11-05 14:36:00,11339,6.9e+22,48.3,86.6,0.0919,-0.00147,142.0,5.12
114,M,2011-11-05 18:48:00,11339,6.93e+22,48.7,89.9,0.11,-0.00229,222.0,5.14
115,M,2011-11-06 00:12:00,11339,7.24e+22,48.7,89.9,0.127,-0.00354,381.0,5.13
116,M,2011-11-09 07:00:00,11342,3.35e+22,41.0,102.0,0.3,0.000553,31.4,4.1
117,M,2011-11-15 03:00:00,11348,2.43e+22,36.8,82.0,-0.0739,-0.00798,283.0,4.91
118,M,2011-11-15 06:36:00,11348,2.38e+22,39.1,78.4,0.207,-0.00735,252.0,5.07
119,M,2011-11-15 16:24:00,11348,2.11e+22,41.0,86.0,0.196,-0.0114,298.0,4.74
120,M,2011-12-25 12:12:00,11387,6.4e+21,51.4,129.0,0.0487,0.0203,228.0,4.21
121,M,2011-12-25 20:12:00,11387,8.73e+21,50.7,122.0,0.0341,0.0297,425.0,4.51
122,M,2011-12-26 14:12:00,11387,1.35e+22,49.0,117.0,-0.146,0.00932,183.0,4.66
123,M,2011-12-29 07:36:00,11389,6.68e+22,34.6,76.6,-0.0694,0.00465,468.0,4.56
124,M,2011-12-29 15:48:00,11389,6.95e+22,35.0,83.1,-0.0521,0.0022,224.0,4.47
125,M,2011-12-29 21:00:00,11389,6.61e+22,35.4,89.7,-0.143,0.0045,415.0,4.57
126,M,2011-12-31 07:12:00,11389,5.21e+22,39.5,98.8,-0.0032,0.00227,179.0,4.64
127,M,2011-12-31 10:12:00,11389,5.43e+22,40.0,96.7,0.0482,0.00108,95.7,4.62
128,M,2012-01-14 07:12:00,11402,0.0,0.0,0.0,0.0,0.0,0.0,4.73
129,M,2012-01-16 22:36:00,11401,8.67e+22,41.5,71.5,0.0163,-0.005,597.0,4.71
130,M,2012-01-18 13:00:00,11401,7.68e+22,44.1,87.9,0.129,-0.00519,610.0,4.82
131,M,2012-01-19 07:48:00,11402,6.62e+22,45.6,98.5,0.236,-0.00826,788.0,4.88
132,M,2012-01-22 23:24:00,11402,6.36e+22,41.9,113.0,0.00214,-0.0121,1160.0,4.69
133,M,2012-02-06 13:36:00,11410,3.41e+22,38.5,82.9,0.0135,0.005,244.0,4.52
134,M,2012-03-02 16:24:00,11429,0.0,0.0,0.0,0.0,0.0,0.0,5.34
135,M,2012-03-04 04:24:00,11429,3.79e+22,49.1,61.9,0.0671,-0.0226,1030.0,4.38
136,M,2012-03-05 13:12:00,11429,4.81e+22,49.1,84.6,0.0386,-0.0277,1610.0,5.0
137,M,2012-03-05 13:24:00,11430,4.77e+22,49.4,84.8,-0.0151,-0.027,1570.0,5.0
138,M,2012-03-05 16:24:00,11430,5.05e+22,49.6,85.1,0.0511,-0.0267,1710.0,4.97
139,M,2012-03-05 18:24:00,11430,5.03e+22,50.1,85.9,0.03,-0.0287,1820.0,5.02
140,M,2012-03-05 19:36:00,11429,5.03e+22,50.3,87.9,0.0366,-0.0319,1950.0,5.05
141,M,2012-03-05 22:00:00,11430,5.31e+22,50.5,86.2,0.0358,-0.0303,2040.0,5.09
142,M,2012-03-06 01:48:00,11430,5.41e+22,51.1,89.4,0.0151,-0.032,2150.0,5.2
143,M,2012-03-06 06:24:00,11429,5.44e+22,51.3,89.6,-0.0118,-0.0287,1980.0,5.22
144,M,2012-03-06 15:00:00,11430,5.23e+22,53.0,85.8,0.0472,-0.029,2080.0,5.18
145,M,2012-03-06 16:48:00,11429,5.39e+22,53.2,85.8,0.0756,-0.0278,2120.0,5.24
146,M,2012-03-08 21:24:00,11432,2.82e+21,32.3,84.1,0.334,-0.00124,5.76,2.49
147,M,2012-03-10 11:12:00,11429,5.01e+22,48.8,102.0,0.0951,-0.0211,1560.0,4.88
148,M,2012-03-13 11:12:00,11432,1.02e+22,41.1,127.0,0.138,0.00276,47.7,3.53
149,M,2012-03-14 09:12:00,11433,1.56e+22,42.9,108.0,0.385,-0.00901,225.0,4.2
150,M,2012-03-15 01:24:00,11432,9.08e+21,41.1,133.0,0.308,0.00145,22.0,3.7
151,M,2012-03-17 14:36:00,11434,4.26e+21,46.8,135.0,0.36,0.0216,157.0,4.12
152,M,2012-03-23 13:36:00,11445,9.39e+21,35.6,70.3,0.497,0.00578,67.4,4.4
153,M,2012-04-16 12:12:00,11461,0.0,0.0,0.0,0.0,0.0,0.0,4.43
154,M,2012-04-27 02:12:00,11459,3.26e+22,29.2,60.0,-0.0427,0.00128,59.8,2.65
155,M,2012-05-05 14:36:00,11471,1.67e+22,49.1,106.0,0.219,0.00873,226.0,4.27
156,M,2012-05-05 14:36:00,11476,3.59e+22,44.3,63.4,-0.0921,0.00213,97.3,4.87
157,M,2012-05-05 23:24:00,11471,1.9e+22,48.2,108.0,0.328,0.00867,263.0,4.11
158,M,2012-05-06 11:36:00,11476,5.87e+22,42.8,68.0,-0.162,-0.00302,228.0,4.58
159,M,2012-05-07 08:00:00,11471,2.2e+22,38.7,104.0,0.175,0.00701,231.0,4.04
160,M,2012-05-08 07:00:00,11476,5.62e+22,47.0,88.9,0.00584,-0.0104,821.0,5.05
161,M,2012-05-09 06:24:00,11476,5.35e+22,49.5,101.0,0.0705,-0.0213,1470.0,5.04
162,M,2012-05-09 08:00:00,11476,5.4e+22,50.3,97.5,-0.057,-0.0179,1350.0,5.06
163,M,2012-05-09 15:00:00,11476,5.2e+22,50.7,99.3,-0.00858,-0.0214,1590.0,5.07
164,M,2012-05-09 22:12:00,11476,5.21e+22,51.5,104.0,0.102,-0.0235,1660.0,5.03
165,M,2012-05-10 14:24:00,11476,4.87e+22,53.7,103.0,0.182,-0.0332,2370.0,5.21
166,M,2012-05-16 19:24:00,11476,4.11e+22,34.4,65.9,-0.0767,-0.00293,175.0,4.03
167,M,2012-06-03 11:48:00,11496,6.12e+22,32.9,95.4,-0.0936,-0.000314,30.1,4.18
168,M,2012-06-06 13:48:00,11494,9.9e+21,56.3,91.8,-0.0285,-0.0115,192.0,3.73
169,M,2012-06-09 05:24:00,11504,1.14e+22,40.8,70.9,-0.0182,-0.000603,9.75,3.34
170,M,2012-06-09 10:48:00,11504,1.39e+22,40.0,84.7,0.0924,0.0035,66.5,3.79
171,M,2012-06-10 00:36:00,11504,1.97e+22,37.8,84.8,-0.00815,-0.00163,41.4,4.18
172,M,2012-06-12 23:12:00,11504,3.52e+22,53.5,99.1,-0.00452,0.0131,713.0,4.87
173,M,2012-06-14 06:48:00,11504,3.57e+22,58.7,94.4,0.141,0.0115,611.0,4.8
174,M,2012-06-28 10:12:00,11513,1.83e+22,38.9,95.7,0.157,-0.00992,273.0,4.24
175,M,2012-06-29 03:12:00,11513,2.56e+22,35.6,97.9,0.00893,-0.00869,329.0,4.3
176,M,2012-06-30 06:48:00,11515,3.38e+22,48.5,102.0,-0.202,-0.00064,30.4,4.77
177,M,2012-06-30 12:24:00,11515,3.39e+22,50.6,101.0,-0.0633,-0.00381,198.0,4.73
178,M,2012-07-01 13:12:00,11513,2.57e+22,48.6,111.0,0.191,-0.00724,317.0,4.55
179,M,2012-07-01 18:24:00,11515,3.09e+22,54.2,101.0,-0.12,-0.0103,484.0,4.83
180,M,2012-07-02 04:48:00,11513,2.8e+22,52.1,106.0,0.189,-0.00461,226.0,4.38
181,M,2012-07-02 14:00:00,11515,3.4e+22,56.9,97.0,-0.0727,-0.00903,541.0,4.86
182,M,2012-07-02 17:48:00,11515,3.43e+22,57.3,99.5,-0.0524,-0.0105,600.0,4.91
183,M,2012-07-03 22:24:00,11515,4.11e+22,56.6,103.0,-0.0666,-0.00732,498.0,4.97
184,M,2012-07-04 03:48:00,11513,2.21e+22,49.5,108.0,0.263,-0.0103,359.0,4.13
185,M,2012-07-04 06:12:00,11513,2.33e+22,47.6,107.0,0.309,-0.00918,357.0,4.21
186,M,2012-07-04 08:36:00,11519,4.07e+21,36.8,67.3,0.218,0.000345,2.2,4.35
187,M,2012-07-04 10:36:00,11519,6.48e+21,42.5,66.1,0.34,0.00625,61.1,3.72
188,M,2012-07-04 16:00:00,11513,2.03e+22,46.5,107.0,0.196,-0.0107,331.0,4.23
189,M,2012-07-04 17:48:00,11515,4.55e+22,53.3,110.0,-0.151,-0.00759,504.0,5.22
190,M,2012-07-04 19:00:00,11515,4.77e+22,53.1,109.0,-0.0458,-0.00815,585.0,5.21
191,M,2012-07-04 20:36:00,11515,4.87e+22,52.9,105.0,-0.0496,-0.00706,531.0,5.23
192,M,2012-07-04 21:24:00,11515,4.84e+22,52.7,107.0,-0.0466,-0.00566,407.0,5.23
193,M,2012-07-05 00:48:00,11515,4.89e+22,52.0,111.0,-0.221,-0.00675,466.0,5.21
194,M,2012-07-05 01:36:00,11519,7.85e+21,39.9,62.5,0.147,0.00947,108.0,3.74
