TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST,AR_class
720.336,7.265489e+22,13372850000000.0,240.63400000000001,9859024000000.0,5.987544e+21,171.006271,5501.074000000001,4.072,25.269000000000002,-0.3687019193424324,5229536593.483387,-1018.8525657968606,1216.566630362739,1.0
942.9019999999999,2.24522e+23,19542480000000.0,142.55100000000004,2124900000000.0,1.628014e+22,470.634491,6295.134,3.818,19.619,-0.3066304182256304,14440870563.459547,-2339.814305641651,2342.365915077236,1.0
855.488,7.395334e+22,18648530000000.0,10.009,7092123000000.0,1.104408e+22,703.612671,2971.1820000000002,3.707,12.117,-0.454163945411238,7179321730.79921,-1722.9345667881744,2389.6720589403553,1.0
536.2719999999998,6.688043e+22,10166150000000.0,35.038000000000004,1490940000000.0,1.017101e+22,240.66033900000002,3373.0809999999997,3.782,11.46,-0.54861213040489,7219961412.515813,-2093.0180313980604,1178.7999591721389,1.0
497.171,6.762531e+22,11105230000000.0,15.378,1266448000000.0,5.466512e+21,302.5689700000001,5202.92,3.4730000000000003,34.474000000000004,-0.28255439118425,5323465639.08771,-794.8207127950978,984.1588183661647,1.0
2627.275,5.793296e+23,45529300000000.0,736.12,19789300000000.0,1.879846e+22,837.6083980000003,14077.77,4.803,55.601000000000006,-0.031495351402919265,27527128903.240158,-458.12078302699854,3577.874110498901,1.0
2922.304,7.014759e+23,49798410000000.0,764.1360000000003,13440820000000.0,2.234685e+22,942.4379880000001,15348.92,4.8069999999999995,55.174,-0.06091032665068832,33741086346.97802,-1085.9820348469316,3826.89829817622,1.0
877.3589999999997,8.403092e+22,16512450000000.0,141.61,4169352000000.0,1.171459e+22,356.13183599999996,3735.8559999999998,4.172,14.595,-0.5181944068678865,9015392531.740808,-2468.59567199102,1901.3384824767968,1.0
3013.313,8.292732e+23,52286680000000.0,1001.403,29798980000000.0,2.605934e+22,1096.2928470000004,14984.81,4.8610000000000015,57.563,-0.039789058734819374,37892726256.88918,-796.6953183841432,4428.5126077627065,1.0
3013.4040000000005,6.428692e+23,52740000000000.0,846.6160000000001,29310650000000.0,3.14651e+22,1106.197388,10859.97,5.005,38.989000000000004,-0.2303579866741237,37724957271.72985,-4592.0300394950755,5002.580592258692,1.0
1263.017,2.850954e+23,25571550000000.0,161.97,5440717000000.0,1.489751e+22,720.135925,8984.396999999999,4.018,38.75,-0.21015409604312896,17050543017.378609,-1893.427791922378,2518.405166284095,1.0
3153.0959999999995,6.63249e+23,53410050000000.0,707.048,26021830000000.0,3.25141e+22,1120.770874,10909.08,5.027,37.211,-0.2287156458225893,38739559478.547134,-4681.911947032849,5103.712497092652,1.0
1213.182,2.803724e+23,24987580000000.0,190.017,4801238000000.0,1.408307e+22,707.713928,9608.011,4.055,39.289,-0.19835862707886187,16463349029.659103,-1725.6070234527267,2486.3022397528616,1.0
1236.766,2.78909e+23,26974970000000.0,129.909,6402945000000.0,1.516475e+22,744.285461,8281.993,3.665,40.173,-0.21962500193399634,17128337780.68236,-1987.7861313397095,2562.594170430419,1.0
1556.5629999999999,2.490956e+23,28499580000000.0,456.769,24463580000000.0,2.449318e+22,597.53949,5376.071,4.4510000000000005,14.615,-0.4322801897781458,18631190128.917816,-4255.774757854888,3602.455884036854,1.0
4479.49,1.176023e+24,83477750000000.0,738.508,51526810000000.0,5.405605e+22,2068.188965,11872.12,5.002,36.279,-0.20691687970238595,64408721903.714836,-7042.279768949809,8699.150947065571,1.0
2133.552,2.955719e+23,39062030000000.0,302.302,9138532000000.0,2.942691e+22,918.823975,5381.088000000002,4.561,21.506,-0.444187994721952,25202455656.06721,-5915.375595873779,4215.227279892364,1.0
